track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRJONXS128F9314931,Englefjes,DumDum Boys,https://p.scdn.co/mp3-preview/513a6758a38755cd5b3476ebd5ca421725da48dd?cid=774b29d4f13844c495f206cafdad9c86,1ALhFWxWdi3doyhlLObeVi,rock,Rock,2001,196693,0.662,0.867,5,-6.667,1,0.0372,0.0902,2.64e-06,0.2,0.724,125.26,4
TRRHIKZ128F425A598,Unfolding,Rival Consoles,https://p.scdn.co/mp3-preview/dab191080475ee3771b032e90b611562d622f8a0?cid=774b29d4f13844c495f206cafdad9c86,47gNfoUvJUFB12GyY5WDuh,"electronic, ambient, experimental, idm",,2018,357853,0.336,0.885,8,-12.528,0,0.0561,0.123,0.908,0.0489,0.187,160.017,3
TRFZKNB128F42435B0,Chöre,Mark Forster,https://p.scdn.co/mp3-preview/d70f5639068d9c8e806d6219019cdbf476748e8a?cid=774b29d4f13844c495f206cafdad9c86,2nYpbaLykC2cjU8Yt5KF1v,"pop, singer_songwriter, soul, german",,2016,208280,0.773,0.623,6,-6.173,0,0.0377,0.22,0.0,0.389,0.714,129.962,4
TRINVUW128F92C2EF7,Who Is It,Björk,https://p.scdn.co/mp3-preview/496fa9659eefe5d09a66047df7d9f34d30c62996?cid=774b29d4f13844c495f206cafdad9c86,2yqucO2bR0Hcj5hWpZ0sDW,"electronic, alternative, female_vocalists, ambient, experimental, chillout, trip_hop, electro, love, 00s",,2004,203600,0.527,0.645,5,-8.22,0,0.295,0.282,0.0,0.116,0.546,122.34,5
TRQZWOC128F92C52E2,Only 1,Ariana Grande,https://p.scdn.co/mp3-preview/84c59b74380fc806cf5ac7635b43f0226c229bd0?cid=774b29d4f13844c495f206cafdad9c86,4BtFFDN4OF1N3TbJASOcj6,"rnb, chill",,2014,193986,0.648,0.841,0,-5.714,1,0.253,0.502,0.0,0.0796,0.382,101.364,4
TRIOYMH12903D1130A,Attack Dog,Brutal Truth,https://p.scdn.co/mp3-preview/412b80f3cad9726a05092382b35fa3693f2198ad?cid=774b29d4f13844c495f206cafdad9c86,4ZCdB38HsJefAVQV0DOgKT,grindcore,,2009,44266,0.231,0.986,5,-6.898,0,0.188,0.000694,0.0574,0.53,0.0348,82.657,3
TRVLYGG12903CBE5D7,Love Connection,Casiotone for the Painfully Alone,https://p.scdn.co/mp3-preview/5d2ad74ee5362ebe781db85a049b6789753d16a0?cid=774b29d4f13844c495f206cafdad9c86,6SCJYD0hs0B2EacpVXPbH8,"electronic, indie, synthpop, cover",,2006,194120,0.805,0.541,4,-7.724,0,0.0363,0.01,0.32,0.0738,0.606,96.184,4
TRCQHXR128F92E722F,Little Deuce Coupe,The Beach Boys,https://p.scdn.co/mp3-preview/b06a1c36f34646f07d31e9d571d853b3ec86f859?cid=774b29d4f13844c495f206cafdad9c86,00fPCBNv0QzaPRWrCjgCcM,"classic_rock, 60s, oldies",Rock,2013,109546,0.669,0.648,1,-7.589,1,0.0477,0.1,0.0049,0.254,0.967,135.618,1
TRAMDRZ128F423B2CF,Sun in an Empty Room,The Weakerthans,https://p.scdn.co/mp3-preview/d6cd2c617cdab860b68c8d27375bbb5daa12a385?cid=774b29d4f13844c495f206cafdad9c86,09fSAMR4Df35vFPY0FgCkh,"rock, indie, indie_rock, post_punk",Rock,2010,234986,0.59,0.693,4,-8.344,1,0.0262,0.0249,0.0492,0.862,0.516,108.32,4
TRWEIBK128F42ACFDA,How Can We Hang On To A Dream,Tim Hardin,https://p.scdn.co/mp3-preview/77177e575a35a19326aa2a4b641d54f570f38ce5?cid=774b29d4f13844c495f206cafdad9c86,0vod9hhvEawBJe6e80FlPQ,"folk, singer_songwriter, 60s",,2013,121386,0.562,0.254,7,-12.296,0,0.0407,0.803,0.0,0.257,0.342,126.489,5
TROVLBE128F14901ED,West,Menomena,https://p.scdn.co/mp3-preview/0576cac32a7aed2534d6e15d962ed566ae04791b?cid=774b29d4f13844c495f206cafdad9c86,0l4x0B3VGOli1XbtxfkoCC,"indie_rock, piano",,2007,351453,0.361,0.415,7,-11.296,1,0.0495,0.327,0.00755,0.204,0.0367,120.629,4
TRCUIWB128F423F00D,Silver Sun,Crystal Stilts,https://p.scdn.co/mp3-preview/ecf6a8ba0d615332d58abf8ae9c0bf1d8ec6d8fd?cid=774b29d4f13844c495f206cafdad9c86,2mkJKO8pLKc5wTwoi82xdr,"indie, post_punk, psychedelic_rock",Rock,2011,182880,0.282,0.814,9,-2.791,0,0.061,0.000265,0.892,0.132,0.334,121.178,3
TRKACKZ128F42397F3,It Burns within,Heaven Shall Burn,https://p.scdn.co/mp3-preview/9fa6f1ce42d708c3acca2bb694eccaaa35af5c0c?cid=774b29d4f13844c495f206cafdad9c86,3x5NTrzyrLd6ka79JzRyWt,"hardcore, metalcore",Metal,2002,268106,0.259,0.993,7,-3.22,1,0.103,3.94e-06,0.0,0.3,0.0785,85.821,4
TRVQATK12903CB9CF8,Longest Night,Howie Day,https://p.scdn.co/mp3-preview/7be29a8abc738cd7c56016d693de9140944b2144?cid=774b29d4f13844c495f206cafdad9c86,7quFUf8mR7wUxeJip0awxn,indie_rock,Rock,2009,215746,0.231,0.636,11,-7.257,1,0.0339,0.00402,0.0,0.0504,0.244,202.098,3
TRKOJHB128F4284BAE,And No More Shall We Part,Nick Cave & The Bad Seeds,https://p.scdn.co/mp3-preview/105bee48a594fb83cf37e0149d74ef37f87eb783?cid=774b29d4f13844c495f206cafdad9c86,3itPZ9EcGXoUipX3Y4iFFm,"rock, alternative, singer_songwriter, blues",,2001,240533,0.403,0.0975,2,-14.824,0,0.0331,0.64,2.96e-05,0.163,0.145,108.795,4
TRQPIBI128F92D5164,Be Careful With a Fool,Johnny Winter,https://p.scdn.co/mp3-preview/7d095e62fd09e44d8ce5f998997d0b5c728df42b?cid=774b29d4f13844c495f206cafdad9c86,1BZf0o0zWTO25CK7rM5Cc2,"blues, guitar, blues_rock",Blues,1969,314880,0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,3
TRLJNDB12903CC9FA4,Second Lives,Vitalic,https://p.scdn.co/mp3-preview/13023c2745536d53973719afb142611f9153dd88?cid=774b29d4f13844c495f206cafdad9c86,0k5rPSGr1fWZzzVJWQJ8EM,"electronic, electro, french",,2009,265746,0.669,0.69,1,-4.701,1,0.0481,0.0025,0.644,0.0871,0.385,129.997,4
TREFBNU128F4295C20,Arc,Pearl Jam,https://p.scdn.co/mp3-preview/1b9d5b831a300a03874bf68786185f3705ca567d?cid=774b29d4f13844c495f206cafdad9c86,0isJCszs3EnoxpoTvMksf7,"rock, grunge",,2002,65226,0.132,0.258,5,-7.578,1,0.0359,0.319,0.496,0.277,0.212,81.636,1
TRASJNI128F92FDB29,Out from Under,Britney Spears,https://p.scdn.co/mp3-preview/edf5eb878920abad430c35c1dd8368af8f944abe?cid=774b29d4f13844c495f206cafdad9c86,0P0UVa2D7EjAmraFzwszzT,"pop, female_vocalists, beautiful",Pop,1999,233826,0.543,0.46,6,-10.463,1,0.0352,0.379,0.0,0.112,0.384,139.918,4
TRABDKM128EF35788A,Old Friends,Simon & Garfunkel,https://p.scdn.co/mp3-preview/adf88642adba5a2ee3b8a33f11ce928912738e29?cid=774b29d4f13844c495f206cafdad9c86,08arlTxlLUxoU2RpHNjt9b,"classic_rock, folk, singer_songwriter, acoustic, 60s, male_vocalists, oldies",,2002,155533,0.179,0.193,1,-15.817,0,0.0361,0.794,0.000386,0.109,0.308,171.828,3
TRFPZIR128F92E6793,Freedom,Rage Against the Machine,https://p.scdn.co/mp3-preview/0bf16f87496965eca4c2a559525c627322c3c6c5?cid=774b29d4f13844c495f206cafdad9c86,0fNXBc9NyqA3qekSaMfkq6,"rock, alternative, metal, alternative_rock, hard_rock, 90s",,2002,366266,0.499,0.613,7,-8.53,1,0.0953,0.00061,0.0225,0.232,0.531,113.577,4
TRWTSVJ12903CF5A6D,Nar Mattaru,Morbid Angel,https://p.scdn.co/mp3-preview/30b82953d1c8725e0cb790598c593ca604c8c988?cid=774b29d4f13844c495f206cafdad9c86,141yPojkPBTgkLDNej3aQX,death_metal,,1993,126440,0.244,0.377,0,-22.523,1,0.11,0.565,0.895,0.106,0.0967,175.032,1
TRYZIBN128F4286514,Burn Them Prisons,Leftöver Crack,https://p.scdn.co/mp3-preview/efe93e89ef393375dcaf4fc5db419d4c41dda7f5?cid=774b29d4f13844c495f206cafdad9c86,29uvgVVTLPkz3RSQ6avxKx,"punk, hardcore, ska",Punk,2004,195059,0.417,0.96,7,-3.672,1,0.213,0.00894,0.000545,0.107,0.399,140.747,4
TRITQFO128F92F1D2B,Jack's Obsession,Danny Elfman,https://p.scdn.co/mp3-preview/11ccfd2d7608abeec611ebf8d85f605dcea38ace?cid=774b29d4f13844c495f206cafdad9c86,0k2T4l7ouxVItFWyDhhUFE,soundtrack,Rock,2006,166440,0.519,0.33,10,-14.538,0,0.111,0.699,1.75e-06,0.0842,0.667,133.257,3
TRJQXZG128F4266DEE,Metsämies,Korpiklaani,https://p.scdn.co/mp3-preview/63f5a85581cf2603567a12ea9764c55128b19b46?cid=774b29d4f13844c495f206cafdad9c86,0QSIWlmHl71JZYgBKgvHgD,,Rock,2008,179626,0.466,0.986,9,-3.855,0,0.05,0.00462,0.000531,0.218,0.889,150.089,4
TREALII128E0789055,Confused Images,Massive Attack,https://p.scdn.co/mp3-preview/65c7d3ee9afb3243bd59bab55cdf52b51e443214?cid=774b29d4f13844c495f206cafdad9c86,20gb8wYm1ztNNC81DfqeEq,"electronic, ambient, instrumental, soundtrack, trip_hop, downtempo",Electronic,2005,118979,0.254,0.0535,2,-25.908,1,0.0357,0.756,0.928,0.111,0.0314,67.942,5
TRIQTIT128F934DD20,Take Flight,Lindsey Stirling,https://p.scdn.co/mp3-preview/fd493482f666e4b331f643604fbcca2274264ca1?cid=774b29d4f13844c495f206cafdad9c86,2CTAANHPRnmF0636XOVfpe,instrumental,,2014,264266,0.429,0.903,7,-3.468,0,0.0574,0.00721,5.26e-05,0.253,0.363,139.981,4
TRNEMMX128F936184D,Ruby II,Amy Millan,https://p.scdn.co/mp3-preview/00f58806f55922acfa7aedb05379f5b29d7147ab?cid=774b29d4f13844c495f206cafdad9c86,0rljmh2uBRa7nFsMhRplWo,"indie, folk, country",,2006,106746,0.493,0.55,0,-9.626,1,0.0281,0.15,4.95e-05,0.142,0.779,103.919,3
TRJNHPN128F92EF139,Adagio For Strings,Samuel Barber,https://p.scdn.co/mp3-preview/fd1b6adbed0cbdd3dce0eb4e39146a0857afec53?cid=774b29d4f13844c495f206cafdad9c86,00otCiz9kUb3Vg7LPKNCZG,"instrumental, classical, soundtrack, beautiful",,2014,431412,0.14,0.0947,10,-18.599,0,0.0458,0.978,0.478,0.0735,0.0365,84.56,4
TROLYXG128EF3449AE,Man-Dude vs. Dude-Brah (Where's The Party At?),See You Next Tuesday,https://p.scdn.co/mp3-preview/f6d3f019c1b14a9a991d269910bcd650f61a41e7?cid=774b29d4f13844c495f206cafdad9c86,04u15mJaZbhY9Bdox0edX3,"metalcore, grindcore",,2007,66160,0.273,0.963,1,-2.575,0,0.129,0.00121,0.0,0.279,0.0366,111.601,5
TRJAUXM128F93221B4,As You Fall,Bent,https://p.scdn.co/mp3-preview/f11c5ff2ccf1284b27453af625ec9efa7ba3d338?cid=774b29d4f13844c495f206cafdad9c86,1A1bbNhZFEBLEWZtc0HBo6,"ambient, chillout, downtempo, lounge",Electronic,2022,216720,0.226,0.433,0,-10.077,0,0.0316,0.892,0.232,0.145,0.205,168.08,4
TRMHYGB128F42661B4,I Need Drugs,Some Girls,https://p.scdn.co/mp3-preview/5153a561c3ac7c5bbc94bfecc24351a4354485dc?cid=774b29d4f13844c495f206cafdad9c86,1buwPr4bczU5RID5zpcDb5,"hardcore, post_hardcore, screamo, grindcore",,2005,62013,0.208,0.977,6,-4.494,1,0.0864,2.1e-06,0.458,0.303,0.165,76.555,1
TRJDTBE128F4289421,For All the Cows,Foo Fighters,https://p.scdn.co/mp3-preview/5fe18754958a391546c206a3a4dec3ed824d4e99?cid=774b29d4f13844c495f206cafdad9c86,4WVCFZ31yR3MxvFY6nSTwA,"rock, alternative_rock, hard_rock, 90s, grunge",Rock,1995,209240,0.366,0.542,4,-9.655,1,0.0344,0.0323,0.00262,0.237,0.513,124.631,4
TRSHHGE128F4263C02,Rip Taylor Is God,Bloodhound Gang,https://p.scdn.co/mp3-preview/0a539da6a92e54639d0362c220d89cdc73a8cad6?cid=774b29d4f13844c495f206cafdad9c86,264rp7920DnkBrLPMtt869,"rock, alternative, 90s, grunge",Rock,1995,82600,0.718,0.17,9,-16.97,1,0.915,0.704,0.0,0.0804,0.536,111.02,5
TRCSCUA128F932B242,What You Do,Margaret,https://p.scdn.co/mp3-preview/ab5d73c81a32b94453511aec79f4d500a5290ffe?cid=774b29d4f13844c495f206cafdad9c86,7mAvh3auAemE7T03Lep5N5,polish,Rock,2017,184104,0.59,0.814,7,-3.306,1,0.0393,0.164,5.42e-06,0.0841,0.231,96.719,4
TRPWCCX12903CDCF18,Devourer,A Plea for Purging,https://p.scdn.co/mp3-preview/d18278e6e0b86ff22c445b694247fa1c8e672882?cid=774b29d4f13844c495f206cafdad9c86,2v1Y7hLrn06sXMOMsQeYJw,"metal, metalcore",Metal,2009,269866,0.303,0.983,6,-3.902,1,0.188,8.64e-05,0.0109,0.637,0.0526,119.842,3
TRFPPYB128F427C6C4,Falling in Love,2NE1,https://p.scdn.co/mp3-preview/804b22c2f980f8dcd94e202ad2923b092eb95079?cid=774b29d4f13844c495f206cafdad9c86,0ZHsvKP7sqt1mw6xgOp8Vf,reggae,,2013,226574,0.649,0.626,11,-2.524,1,0.0783,0.0325,0.0,0.369,0.418,176.185,4
TREBAMB128F930C1B0,Ghost Opera,Kamelot,https://p.scdn.co/mp3-preview/02526fbc05248743bff03f504b393d82c6965e0e?cid=774b29d4f13844c495f206cafdad9c86,0Wd2JV9izhOgAumCK3PbHI,"metal, progressive_metal, power_metal, symphonic_metal",Metal,2007,246266,0.433,0.97,1,-2.853,0,0.11,0.0119,7.83e-06,0.0933,0.285,160.088,3
TROHLGR128F428AF9B,Come With Me,Nneka,https://p.scdn.co/mp3-preview/95e446bfc6bff962efb7cc5b454d90463b4f9e38?cid=774b29d4f13844c495f206cafdad9c86,04cFgbl1h3Qn3uiSqsDHa5,"soul, reggae",RnB,2008,324413,0.551,0.336,7,-11.496,1,0.0802,0.821,0.0,0.0982,0.501,112.349,4
TRRCTIM128F93257ED,I Love You All,Ozzy Osbourne,https://p.scdn.co/mp3-preview/0d7a8a0397533966d349203def100e82e1ccae51?cid=774b29d4f13844c495f206cafdad9c86,1qHqlhfTdcqt1vMgkFvPri,"hard_rock, heavy_metal, doom_metal",Rock,1983,62626,0.109,0.441,0,-6.888,0,0.0402,0.629,0.00975,0.119,0.143,206.592,3
TRULLCL128F42934F1,Canon In D,Johann Pachelbel,https://p.scdn.co/mp3-preview/953b9faf4c04385c9655dbb21beec0d739162e24?cid=774b29d4f13844c495f206cafdad9c86,06FdLEiaKmaSl8CfZohM1o,"instrumental, classical, beautiful",,2002,325720,0.314,0.254,2,-11.058,1,0.0358,0.968,0.0954,0.108,0.332,124.103,4
TRXMSYE128F92DE02F,Yo George,Tori Amos,https://p.scdn.co/mp3-preview/3cbf671768c0d14e37429df5a66fdda355469121?cid=774b29d4f13844c495f206cafdad9c86,1A30Hnii0JC8qAAFgYWLFH,"alternative, female_vocalists, piano",,2007,85320,0.486,0.0599,10,-20.244,1,0.051,0.856,0.0,0.136,0.385,119.813,3
TRFPGUR12903CC27BA,Adieu,Enter Shikari,https://p.scdn.co/mp3-preview/3a23331f609cf7d6feddf89022e30147bf8a4261?cid=774b29d4f13844c495f206cafdad9c86,1kImXoWQduSW5SShYzl4KS,"ambient, hardcore, chillout, post_hardcore, love, beautiful, screamo",,2007,340346,0.271,0.414,1,-8.354,1,0.0307,0.0637,5.88e-05,0.0739,0.0753,112.007,4
TRDTLZP128F1468ECC,Body M/F Count,Body Count,https://p.scdn.co/mp3-preview/4766c4401a9e4fc40f6fceed622c76ba93e096c7?cid=774b29d4f13844c495f206cafdad9c86,5vQdL2Jzdn7KDLjkMsXw86,"rock, metal, hardcore, noise",,1994,134733,0.406,0.945,6,-5.782,1,0.137,0.000221,0.0946,0.954,0.485,109.168,5
TRGHBAR128F1451FC5,Neon Sky Rain,Vector Lovers,https://p.scdn.co/mp3-preview/066af1a0bb1c6485c614858fff28124210375229?cid=774b29d4f13844c495f206cafdad9c86,3HUNY4oZcTQP6VsYjX4HmA,idm,Electronic,2012,239946,0.631,0.667,9,-9.047,0,0.0673,0.183,0.0329,0.392,0.392,156.039,4
TRZCXNH128F1474065,Die Interviewer (I Am Only Speaking In German),The Chariot,https://p.scdn.co/mp3-preview/b107a93b47c62c54a6f28ceb7844bc28f421d229?cid=774b29d4f13844c495f206cafdad9c86,3QBfqjEjVp2F2yHrMnDbpm,"metal, experimental, hardcore, metalcore, screamo, grindcore",Metal,2011,160813,0.261,0.915,1,-5.174,1,0.191,0.000248,0.000581,0.109,0.222,111.576,1
TRJGRYI128F4267D63,New Disease,Spineshank,https://p.scdn.co/mp3-preview/1638ad9f13b89de349a5062c6ae4e054adb0c5ee?cid=774b29d4f13844c495f206cafdad9c86,0WD5wJybBX8vwyC6BbwSAL,"metal, hard_rock, industrial, nu_metal",Rock,2013,195293,0.573,0.867,7,-5.209,1,0.067,5.75e-05,0.000171,0.103,0.292,121.964,4
TRJNLLL128F424A54F,Why Did You Stay?,The Pipettes,https://p.scdn.co/mp3-preview/028b9ae40f265d54dee676925dc56c2033aed586?cid=774b29d4f13844c495f206cafdad9c86,0mrokguOVHjLs1lLTzG9ZM,"indie, female_vocalists, new_wave, indie_pop, britpop",Rock,2006,105573,0.371,0.949,11,-2.099,1,0.0959,0.00334,0.0273,0.0729,0.628,141.231,3
TRFHPXI128E07881E8,The Village,New Order,https://p.scdn.co/mp3-preview/77640573051cc8807cde48a7ba4036c45e2a0b1c?cid=774b29d4f13844c495f206cafdad9c86,25LC1ju5aJKsAqxTUXDSpE,"electronic, dance, 80s, new_wave, post_punk",,1983,277253,0.607,0.957,0,-7.756,1,0.031,0.00964,0.214,0.137,0.969,131.918,4
TRPCTHY128F930370E,Coventry Carol,Loreena McKennitt,https://p.scdn.co/mp3-preview/44cdc03d07c0d58bdb477ed37dac983b14f65fa1?cid=774b29d4f13844c495f206cafdad9c86,0a4JcooESZ0jgs98IqSkOq,"gothic, new_age",,1995,140527,0.32,0.159,4,-14.573,0,0.0369,0.923,0.0,0.101,0.177,112.627,3
